Loading data ...
Traceback (most recent call last):
  File "grid_knn_demo.py", line 214, in <module>
    VALIDATION = ('validation' == sys.argv[1])
IndexError: list index out of range
Loading data ...
Bayesian Optimization mode. Taking last 10% of training as test set.
[31mInitialization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
   37 | 12m08s |    0.51769 |       21.0349 |    4.4540 |    9.2270 |       9.4692 |      1.3213 |  266.5553 | 1632.7404 |   18.9879 | 
   38 | 15m03s |    0.53364 |       32.7884 |   12.4631 |    3.4403 |      12.6842 |      4.7347 |  515.3469 |  641.1251 |   16.1578 | 
   39 | 12m31s |    0.52745 |       21.8353 |   11.6896 |    7.2594 |      27.6258 |      1.3584 |  789.6864 |  530.0688 |    7.4562 | 
   40 | 12m47s |    0.53066 |       16.1529 |    7.8344 |    9.2913 |      22.2335 |      7.8275 |  859.6619 |  918.5053 |   16.2824 | 
   41 | 12m43s |    0.53621 |       29.5326 |    5.0476 |    3.5615 |       5.9145 |      9.6717 |  705.0607 | 1772.0108 |    6.6506 | 
   42 | 14m20s | [35m   0.54803[0m | [32m      32.0373[0m | [32m   3.1295[0m | [32m   4.1529[0m | [32m     15.5539[0m | [32m     2.3081[0m | [32m 414.9065[0m | [32m 968.3364[0m | [32m   5.0498[0m | 
   43 | 11m46s |    0.53664 |       16.0779 |    4.8251 |    3.8718 |       8.0653 |      5.0712 |  658.9459 | 1818.9941 |    7.5976 | 
   44 | 13m47s |    0.50833 |       18.1822 |   13.1814 |    8.0004 |      20.2971 |      9.5134 |  865.4597 |  544.9049 |   19.9304 | 
   45 | 13m43s |    0.52936 |       15.4512 |    8.2516 |    2.4428 |      18.3580 |      8.0325 |  679.0884 |  856.8768 |   14.6718 | 
   46 | 11m47s |    0.51260 |       19.9367 |    7.9850 |    1.2027 |       8.6406 |      4.5344 |  879.3644 | 1286.4503 |   19.5938 | 
   47 | 13m46s |    0.53720 |       36.8782 |   14.0895 |    8.9640 |      17.6228 |      7.8799 |  564.5743 | 1381.3582 |   19.9684 | 
   48 | 16m05s |    0.52822 |       36.4968 |    6.6848 |    1.4663 |      22.9022 |      9.9937 |  378.2216 |  829.2131 |    4.1096 | 
   49 | 12m39s |    0.54120 |       33.1778 |    5.7856 |    6.7783 |      19.5494 |      1.0424 |  790.1110 | 1240.9276 |   12.8944 | 
   50 | 11m45s |    0.52860 |       11.2277 |   14.6298 |    9.8540 |      16.5988 |      7.6735 |  715.1713 | 1237.0839 |    5.0318 | 
   51 | 26m19s |    0.54251 |       37.3970 |   10.5306 |    6.0410 |      24.0274 |      9.0841 |  949.4659 | 1896.9365 |   12.7756 | 
   52 | 18m28s |    0.54106 |       23.2829 |    5.7785 |    6.0529 |      20.1947 |      3.9741 |  667.6524 | 1923.5043 |    3.1700 | 
   53 | 21m24s |    0.53903 |       33.1087 |    9.4533 |    2.2092 |      17.1089 |      4.5045 |  372.3191 |  624.1732 |   13.1817 | 
   54 | 14m42s |    0.53326 |       38.4826 |   14.6886 |    5.0919 |       5.0065 |      8.8193 |  334.7686 | 1768.1516 |   10.0402 | 
   55 | 10m07s |    0.51810 |        8.1405 |   11.4540 |    9.5798 |      11.3440 |      6.8729 |  436.4123 | 1619.2924 |    7.3056 | 
   56 | 12m10s |    0.52665 |       11.7696 |    3.1312 |    4.2326 |      27.5022 |      1.0119 |  952.3091 | 1595.5088 |   19.3478 | 
   57 | 12m47s |    0.52086 |       20.1420 |   13.7069 |    1.4612 |      21.9832 |      8.2035 |  899.8692 | 1165.3520 |   17.5115 | 
   58 | 13m28s |    0.50431 |        9.8595 |    6.6558 |    7.6659 |      15.5586 |      6.7898 |  714.2068 |  508.6757 |   16.4995 | 
   59 | 14m02s |    0.53653 |       22.2892 |   14.6870 |    5.1948 |      23.8920 |      8.4656 |  814.5382 |  982.7444 |   17.1930 | 
   60 | 15m36s |    0.54755 |       29.5116 |    4.8158 |    4.4229 |      16.3009 |      3.2235 |  545.8019 | 1257.7986 |    8.1345 | 
   61 | 13m22s |    0.52237 |       16.7715 |   11.5676 |    3.6479 |      13.2791 |      4.4125 |  934.6755 |  691.9626 |   19.9612 | 
   62 | 13m33s | [35m   0.54869[0m | [32m      29.9949[0m | [32m   4.5078[0m | [32m   4.1269[0m | [32m     15.6884[0m | [32m     2.7628[0m | [32m 479.7589[0m | [32m 989.7980[0m | [32m   7.9225[0m | 
   63 | 12m17s |    0.53570 |       33.5506 |   13.7234 |    2.2217 |      28.1399 |      3.7939 |  855.0691 | 1842.8826 |   13.2378 | 
   64 | 10m59s |    0.52382 |       10.7114 |   10.0537 |    8.5826 |      14.2507 |      9.0186 |  350.9449 | 1729.1670 |    7.9529 | 
   65 | 11m56s |    0.52291 |       10.3097 |    7.8392 |    2.6166 |      24.8969 |      5.2546 |  930.7514 | 1131.4087 |   16.9205 | 
   66 | 10m41s |    0.53835 |       22.0778 |    7.6494 |    9.2316 |       6.5339 |      4.9197 |  999.6773 | 1582.0164 |   11.5583 | 
   67 | 13m33s |    0.52785 |       30.2909 |    5.8566 |    1.4176 |      25.5607 |      5.1244 |  948.6168 |  750.4251 |    6.2296 | 
   68 | 14m30s |    0.54702 |       28.0430 |    5.6754 |    4.5921 |      16.3469 |      4.3016 |  588.9372 | 1116.0767 |   10.4654 | 
   69 | 13m20s |    0.50905 |        6.7511 |    8.7231 |    2.7030 |      13.6445 |      3.2226 |  544.4965 |  506.0121 |   14.0871 | 
   70 | 14m15s |    0.54574 |       27.4689 |    7.5984 |    5.1202 |      18.6088 |      6.3039 |  643.0807 | 1385.1103 |    9.5690 | 
   71 | 13m38s |    0.54460 |       28.9015 |   10.5783 |    3.6481 |      24.4607 |      3.7603 |  330.8190 | 1100.5849 |    2.7421 | 
   72 | 14m15s |    0.54242 |       24.8456 |    2.4900 |    3.9594 |      19.9550 |      5.9989 |  839.1124 | 1149.4216 |   13.6908 | 
   73 | 10m43s |    0.53714 |       26.8763 |   12.0516 |    2.5509 |       9.1534 |      2.2078 |  713.8750 | 1721.8964 |    6.8919 | 
   74 | 11m07s |    0.49406 |        5.4667 |    4.7991 |    9.5156 |      26.8001 |      1.7397 |  384.5442 | 1575.1641 |   15.8021 | 
   75 | 10m53s |    0.52822 |       28.3532 |   13.3824 |    8.6872 |       5.7679 |      4.1960 |  799.8497 |  647.4581 |    6.2352 | 
   76 | 13m55s |    0.53483 |       20.3559 |    2.7156 |    4.0880 |      15.0223 |      5.2283 |  853.9059 |  749.1719 |   13.7198 | 
   77 | 11m46s |    0.54121 |       25.3536 |    7.9741 |    9.0205 |      25.4770 |      1.7993 |  517.5656 | 1421.5342 |    6.1407 | 
   78 | 13m20s |    0.54830 |       28.5628 |    6.2070 |    4.4801 |      18.3859 |      3.1114 |  436.2513 | 1125.1303 |    6.4818 | 
   79 | 11m45s |    0.51298 |        9.7714 |    6.2886 |    2.5870 |       8.5248 |      9.4363 |  776.0741 |  528.7221 |    6.3439 | 
   80 | 13m35s |    0.53387 |       36.7514 |    8.2116 |    6.1693 |      21.4819 |      4.6098 |  725.2030 |  736.9689 |    2.0510 | 
   81 | 16m36s |    0.53467 |       29.4900 |   11.5743 |    5.2727 |      26.5072 |      2.2554 |  311.7245 |  540.1981 |   14.2736 | 
   82 | 11m10s |    0.51227 |        8.4523 |   14.2665 |    6.1670 |      12.6671 |      6.8545 |  369.5714 | 1797.2160 |   16.6730 | 
   83 | 13m06s |    0.50240 |       14.9225 |   12.8970 |    1.0499 |      13.5627 |      6.8060 |  271.7331 | 1615.4410 |   19.3150 | 
   84 | 13m21s |    0.52940 |       24.1932 |   13.1229 |    1.9020 |      29.7067 |      3.9246 |  890.2023 |  581.3947 |    4.0776 | 
   85 | 12m48s |    0.53222 |       32.2173 |   10.7558 |    4.1414 |       9.9200 |      7.4804 |  703.2025 |  614.9278 |    6.4227 | 
   86 | 13m30s |    0.54724 |       28.6706 |    4.3866 |    4.6716 |      16.7147 |      2.5278 |  488.6547 | 1090.6707 |    5.3869 | 
   87 | 10m36s |    0.53435 |       13.6013 |   12.7068 |    4.9188 |       6.9449 |      3.4549 |  682.7002 |  924.5958 |   11.3323 | 
   88 | 11m48s |    0.52072 |        8.9230 |    3.0826 |    4.0128 |       9.6930 |      5.9723 |  753.0417 | 1361.8922 |   14.2361 | 
   89 | 11m03s |    0.53029 |       11.1708 |   12.8362 |    5.6913 |      24.3467 |      1.4154 |  740.2865 |  699.0926 |    8.1110 | 
   90 | 12m29s |    0.54327 |       18.3716 |   14.1254 |    4.6193 |      28.7766 |      5.7326 |  424.2637 | 1490.5522 |    6.4803 | 
   91 | 12m27s |    0.53215 |       15.5607 |    5.8341 |    1.7588 |      28.0116 |      5.0441 |  531.1183 | 1754.2832 |    4.4306 | 
   92 | 11m34s |    0.50635 |        5.0886 |    5.6682 |    6.9354 |      27.2776 |      7.0136 |  523.2946 | 1209.9158 |    8.5904 | 
   93 | 11m15s |    0.53101 |       15.2249 |   11.8128 |    8.1790 |      18.0086 |      2.8356 |  279.0449 | 1800.3458 |    8.0169 | 
   94 | 16m30s |    0.52411 |       11.3488 |    1.9956 |    4.2360 |      28.0920 |      7.9360 |  256.1154 | 1684.2376 |    7.8310 | 
   95 | 11m13s |    0.52587 |       10.6587 |   10.7591 |    6.2123 |      14.7064 |      3.8481 |  742.2448 |  628.2082 |   10.5280 | 
   96 | 15m56s |    0.53378 |       31.5407 |    5.3468 |    7.7180 |      18.9063 |      9.6630 |  480.5048 |  874.5615 |   14.4506 | 
   97 | 12m25s |    0.54682 |       28.0644 |    8.0763 |    5.4419 |      20.6594 |      3.6408 |  570.9059 | 1403.3391 |    7.5080 | 
   98 | 14m01s |    0.53744 |       38.0554 |    7.3129 |    2.2266 |      18.5917 |      4.7929 |  818.6461 |  858.8311 |    7.7468 | 
   99 | 11m40s |    0.53463 |       11.5565 |   12.9902 |    9.7503 |      28.1830 |      5.1080 |  707.8504 | 1127.9549 |    8.0725 | 
  100 | 13m17s |    0.53222 |       36.2781 |    5.7809 |    9.9684 |      17.4338 |      6.0344 |  966.9248 |  960.8800 |   17.9800 | 
  101 | 10m40s |    0.51879 |       11.0500 |   10.2039 |    4.5347 |       8.5557 |      1.6252 |  805.2190 |  690.8087 |   14.9512 | 
  102 | 11m24s |    0.53221 |       22.2236 |    7.6626 |    8.7094 |       9.2313 |      7.1795 |  999.8373 |  964.7970 |    5.5852 | 
  103 | 12m44s |    0.54770 |       28.5803 |    7.5204 |    4.2388 |      17.2303 |      3.1248 |  571.0994 | 1201.6705 |    8.3490 | 
  104 | 13m35s |    0.53811 |       15.1102 |    2.9835 |    6.9251 |      21.8080 |      7.2261 |  688.0777 | 1251.1174 |   15.1372 | 
  105 | 13m09s |    0.54810 |       28.4091 |    5.7676 |    4.8092 |      19.3201 |      2.8710 |  532.8377 | 1145.2918 |    9.4608 | 
  106 | 10m38s |    0.53778 |       22.4577 |   11.7613 |    4.9454 |      14.2863 |      1.5580 |  898.2317 |  959.7902 |    4.2208 | 
  107 | 13m52s | [35m   0.54889[0m | [32m      28.3746[0m | [32m   5.8236[0m | [32m   3.7124[0m | [32m     17.8245[0m | [32m     3.6437[0m | [32m 471.3685[0m | [32m 994.6456[0m | [32m   8.9847[0m | 
  108 | 13m05s |    0.54812 |       27.4137 |    9.2859 |    4.4951 |      21.8756 |      4.1562 |  470.8638 | 1153.8346 |    6.8571 | 
  109 | 10m48s |    0.52531 |       19.0342 |   14.3734 |    9.5228 |       6.8094 |      3.2397 |  378.2592 | 1900.9559 |   19.2982 | 
  110 | 13m11s |    0.54772 |       30.5408 |    6.4749 |    4.3601 |      19.8258 |      4.0001 |  565.0104 | 1112.0002 |    6.9821 | 
  111 | 15m24s |    0.53530 |       38.1443 |    3.7155 |    6.0904 |      29.7891 |      8.0389 |  754.7901 |  826.7168 |    7.1385 | 
  112 | 12m32s |    0.53646 |       38.6105 |   10.8178 |    5.7517 |      15.5654 |      4.3639 |  924.6958 |  820.0036 |    8.7016 | 
  113 | 13m12s |    0.54812 |       28.7222 |    6.6657 |    4.8351 |      16.7042 |      3.4615 |  469.8137 | 1019.4022 |    8.7980 | 
  114 | 13m35s |    0.54833 |       30.9022 |    7.5182 |    4.1770 |      19.7815 |      3.9243 |  466.0805 | 1195.9334 |    8.9447 | 
  115 | 12m32s |    0.54432 |       30.2721 |    7.6764 |    5.1727 |      20.3538 |      6.5403 |  841.7272 | 1597.9763 |    9.4311 | 
  116 | 13m03s |    0.54800 |       26.0853 |    7.1339 |    4.4051 |      19.5312 |      4.1996 |  548.2722 | 1135.7670 |    8.5718 | 
  117 | 13m03s |    0.54702 |       30.2708 |    9.1763 |    4.8848 |      20.5040 |      4.4752 |  613.6615 | 1129.5867 |    9.6349 | 
  118 | 12m54s |    0.54636 |       28.7102 |    9.9891 |    4.5760 |      22.3780 |      5.6251 |  607.4991 | 1481.4073 |    8.3977 | 
  119 | 13m30s | [35m   0.54917[0m | [32m      29.9758[0m | [32m   7.9126[0m | [32m   4.0538[0m | [32m     20.0040[0m | [32m     3.0118[0m | [32m 462.8410[0m | [32m 969.2217[0m | [32m   7.5946[0m | 
  120 | 12m59s |    0.54811 |       29.7034 |    8.3705 |    4.5616 |      21.8202 |      3.0281 |  557.2415 | 1123.8892 |    7.8988 | 
  121 | 13m06s |    0.54837 |       31.5308 |    6.0776 |    3.8464 |      18.1827 |      2.5451 |  516.3259 | 1078.4859 |    7.5839 | 
  122 | 12m48s |    0.54678 |       30.1073 |    6.2701 |    4.7540 |      20.8683 |      4.3331 |  704.8931 | 1322.9709 |    9.7651 | 
  123 | 13m22s |    0.54841 |       30.1888 |    8.6409 |    3.8629 |      18.9021 |      3.8314 |  492.0346 | 1041.2364 |    7.0195 | 
  124 | 13m15s |    0.54862 |       29.3561 |    7.4386 |    4.1516 |      19.3162 |      3.3990 |  518.8546 | 1052.7116 |    8.9694 | 
  125 | 13m17s |    0.54776 |       31.5510 |    8.4980 |    4.6412 |      20.9618 |      3.1378 |  444.4828 | 1099.1051 |    5.9884 | 
  126 | 12m59s |    0.54581 |       32.5531 |    7.0605 |    4.4123 |      21.3766 |      4.9893 |  628.4935 | 1548.5552 |    7.5533 | 
