Loading data ...
Traceback (most recent call last):
  File "grid_knn_demo.py", line 214, in <module>
    VALIDATION = ('validation' == sys.argv[1])
IndexError: list index out of range
Loading data ...
Bayesian Optimization mode. Taking last 10% of training as test set.
[31mInitialization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
   82 | 10m21s |    0.51418 |        7.4076 |    8.5435 |    9.1129 |      13.9503 |      7.5423 |  834.0671 | 1542.5529 |   14.3434 | 
   83 | 13m30s |    0.54744 |       28.9984 |    6.3792 |    4.9926 |      22.2317 |      4.4158 |  613.0890 | 1444.4467 |    9.9478 | 
   84 | 14m03s |    0.54864 |       28.2066 |    4.9854 |    4.0436 |      17.8576 |      3.4571 |  503.3342 | 1113.8400 |    8.3941 | 
   85 | 14m50s |    0.53367 |       29.6551 |   12.3455 |    4.6530 |      14.7942 |      4.7779 |  307.8886 | 1217.4581 |   18.9649 | 
   86 | 11m40s |    0.53230 |       19.2644 |   14.7875 |    2.0809 |      12.7045 |      9.1421 |  538.8507 | 1436.5656 |    9.2035 | 
   87 | 13m09s |    0.54651 |       27.6937 |    7.4961 |    3.7302 |      20.1762 |      3.9107 |  624.7686 | 1399.8930 |   11.2026 | 
   88 | 15m07s |    0.54827 |       29.4742 |    2.9727 |    4.8556 |      24.0917 |      3.3651 |  493.3582 | 1342.1116 |    8.5183 | 
   89 | 14m10s |    0.54790 |       29.7482 |    4.9032 |    5.2187 |      20.2483 |      3.8485 |  413.1022 | 1052.6145 |    7.9095 | 
   90 | 11m26s |    0.53853 |       26.0581 |   12.4797 |    3.5426 |      15.6289 |      6.9725 |  951.2868 | 1932.9890 |   11.9009 | 
   91 | 12m39s |    0.53681 |       12.4082 |    3.8429 |    3.3831 |      22.0821 |      4.3514 |  488.1796 | 1453.2550 |    4.1834 | 
   92 | 11m11s |    0.53086 |       16.9867 |    9.9544 |    1.6203 |      15.2692 |      1.3289 |  764.1425 | 1299.2573 |    9.4243 | 
   93 | 13m53s |    0.54872 |       28.4503 |    4.7926 |    4.6798 |      21.9617 |      3.4299 |  452.6086 | 1209.1383 |    8.8796 | 
   94 | 14m29s |    0.54727 |       28.2412 |    3.2338 |    5.5086 |      23.9399 |      2.5327 |  436.8881 | 1238.5331 |    7.1514 | 
   95 | 13m12s |    0.54219 |       38.0171 |   14.2818 |    7.8000 |      19.7929 |      6.6842 |  589.7800 | 1912.5939 |   14.1760 | 
   96 | 10m24s |    0.50734 |        6.0682 |   10.8273 |    5.0579 |      11.0505 |      7.7631 |  732.0834 | 1647.1006 |   13.4732 | 
   97 | 12m25s |    0.54503 |       31.1413 |   12.0923 |    7.1374 |      24.3791 |      6.4888 |  729.4347 | 1772.6169 |   12.5796 | 
   98 | 11m12s |    0.53314 |       22.4559 |   12.6576 |    4.1006 |       7.4372 |      9.3588 |  925.9192 | 1835.4642 |    3.6773 | 
   99 | 14m59s |    0.54743 |       32.3377 |    2.8343 |    5.7063 |      23.3173 |      3.1916 |  420.3438 | 1066.5181 |    8.5659 | 
  100 | 16m50s |    0.53673 |       36.2004 |    1.5083 |    7.9182 |      22.1880 |      9.7012 |  431.5476 | 1091.9272 |    7.0934 | 
  101 | 13m30s |    0.54842 |       28.4948 |    5.0297 |    4.2679 |      21.7080 |      2.9446 |  571.0196 | 1043.2988 |    9.3989 | 
  102 | 13m25s |    0.54796 |       27.1825 |    5.6681 |    4.6709 |      16.8339 |      3.7522 |  493.3471 |  959.4242 |    8.9234 | 
  103 | 14m08s |    0.54249 |       29.0175 |    1.6133 |    5.7493 |      27.3447 |      4.0213 |  940.7166 | 1467.8195 |    4.5381 | 
  104 | 10m34s |    0.53165 |       15.9402 |   14.2393 |    7.1499 |       6.0965 |      4.5937 |  596.5224 |  645.3554 |    6.5365 | 
  105 | 13m23s |    0.54698 |       25.6006 |    3.4114 |    4.8160 |      25.1288 |      4.1955 |  696.3010 | 1203.2442 |    7.9086 | 
  106 | 15m33s |    0.53797 |       39.2106 |    3.1422 |    6.0986 |      29.3521 |      5.9975 |  756.9800 |  816.5170 |   11.3879 | 
  107 | 13m56s |    0.54747 |       30.5322 |    4.5224 |    4.9895 |      23.4058 |      4.5470 |  590.1075 | 1066.6698 |    9.4694 | 
  108 | 14m01s |    0.54838 |       28.9184 |    4.2718 |    5.1619 |      25.5053 |      3.6363 |  451.7444 | 1045.6194 |    7.7509 | 
  109 | 13m10s |    0.52820 |       36.6045 |    4.1272 |    4.8472 |       6.4290 |      2.3137 |  586.5454 |  680.8511 |   19.3629 | 
  110 | 12m26s |    0.52584 |       36.2631 |    7.1931 |    1.1351 |       8.2673 |      7.5194 |  502.4009 | 1249.2221 |    6.4176 | 
  111 | 13m33s |    0.54870 |       27.9577 |    4.9228 |    4.5759 |      25.0551 |      3.3881 |  540.1702 | 1260.5650 |    8.4575 | 
  112 | 14m01s |    0.54766 |       27.8035 |    3.3384 |    5.4616 |      22.3953 |      4.3867 |  479.6069 | 1162.2056 |    7.5505 | 
  113 | 12m55s |    0.54705 |       30.5833 |    8.6899 |    4.8843 |      20.9908 |      3.6964 |  535.1637 | 1482.3899 |   10.4956 | 
  114 | 13m49s |    0.54860 |       27.7078 |    3.4044 |    4.9683 |      25.6228 |      2.8816 |  481.7800 | 1230.3602 |    9.9262 | 
  115 | 13m40s |    0.54794 |       25.3776 |    4.5345 |    5.1899 |      25.6682 |      4.7566 |  560.4060 | 1235.0799 |    9.5654 | 
  116 | 12m49s |    0.54736 |       27.1446 |    5.3864 |    4.8104 |      21.3124 |      3.7136 |  652.3632 | 1233.6321 |    8.1929 | 
  117 | 13m58s |    0.54868 |       28.2832 |    3.3735 |    4.9693 |      23.6333 |      3.2452 |  500.3873 | 1141.2765 |    8.6011 | 
  118 | 13m12s |    0.54798 |       26.1169 |    5.6158 |    5.1195 |      23.5537 |      4.2507 |  572.1598 | 1127.4316 |    8.6340 | 
  119 | 12m47s |    0.54769 |       26.1787 |    7.0597 |    4.8352 |      21.9210 |      3.6563 |  560.4993 | 1364.6411 |   10.2904 | 
  120 | 13m55s |    0.54753 |       28.8340 |    6.8586 |    4.5078 |      23.8754 |      5.2405 |  567.2467 | 1207.9503 |   11.2012 | 
  121 | 12m50s |    0.54712 |       31.3619 |    8.0047 |    4.5943 |      23.6044 |      3.4323 |  651.6614 | 1422.4390 |   10.6641 | 
  122 | 14m30s |    0.54713 |       27.4080 |    3.8182 |    5.7491 |      22.9276 |      3.5599 |  404.9873 |  904.8647 |    8.8955 | 
  123 | 14m12s |    0.54849 |       29.7842 |    4.7448 |    4.9302 |      25.3116 |      3.9955 |  481.6471 | 1163.3952 |   10.0303 | 
  124 | 14m20s |    0.54770 |       28.7370 |    3.6587 |    5.4977 |      25.1845 |      3.4520 |  405.6601 | 1198.2742 |    8.8518 | 
  125 | 13m39s |    0.54802 |       31.1229 |    5.8069 |    4.7665 |      19.4730 |      3.8470 |  496.7679 | 1194.4250 |    9.9878 | 
  126 | 13m28s |    0.54827 |       26.5309 |    4.8408 |    4.3302 |      18.0527 |      3.1878 |  527.1661 | 1021.7957 |    9.7982 | 
  127 | 13m39s |    0.54666 |       25.9623 |    4.8109 |    5.1678 |      24.3891 |      5.4166 |  688.8656 | 1197.5497 |   10.4295 | 
  128 | 13m12s |    0.54808 |       29.9588 |    6.3250 |    4.4970 |      22.2416 |      3.5487 |  588.9262 | 1255.7343 |   10.2807 | 
  129 | 13m08s |    0.54819 |       26.5350 |    6.3047 |    4.2359 |      16.5507 |      3.3787 |  475.8376 | 1141.6404 |    9.6179 | 
  130 | 14m12s |    0.54721 |       25.7346 |    3.5976 |    4.9965 |      25.7831 |      4.3130 |  600.3569 |  973.3381 |   10.0736 | 
  131 | 13m34s |    0.54753 |       26.2615 |    4.2920 |    3.9845 |      23.5753 |      4.6195 |  625.3403 | 1252.6327 |    9.2733 | 
  132 | 13m33s |    0.54764 |       27.1442 |    5.0139 |    4.9446 |      20.0051 |      4.9396 |  493.5114 | 1162.9565 |    9.4507 | 
  133 | 13m52s |    0.54837 |       29.7999 |    5.0385 |    4.9929 |      22.5842 |      2.8951 |  454.7352 |  940.1628 |    8.8466 | 
  134 | 13m08s |    0.54793 |       29.3512 |    5.0459 |    4.7730 |      17.9189 |      2.5026 |  449.9393 | 1165.5011 |    8.9118 | 
  135 | 13m10s |    0.54858 |       27.2300 |    6.3855 |    3.8907 |      21.5565 |      2.7039 |  501.6024 | 1218.4757 |    9.2729 | 
  136 | 13m47s |    0.54842 |       25.8656 |    3.9670 |    3.9392 |      24.0039 |      2.9473 |  525.0517 | 1309.6973 |    9.4070 | 
  137 | 13m32s |    0.54841 |       25.8735 |    4.3806 |    4.3758 |      17.3684 |      3.5480 |  465.1145 | 1087.5023 |    9.3026 | 
  138 | 13m43s | [35m   0.54938[0m | [32m      27.4939[0m | [32m   4.5908[0m | [32m   4.2476[0m | [32m     20.4148[0m | [32m     2.8909[0m | [32m 455.7805[0m | [32m 950.3243[0m | [32m   7.8949[0m | 
  139 | 13m05s |    0.54717 |       29.8657 |    6.3226 |    5.6276 |      18.9363 |      4.1147 |  519.2197 | 1252.9876 |    7.9056 | 
  140 | 12m55s |    0.54736 |       29.0695 |    6.3300 |    4.1757 |      21.2841 |      3.0929 |  559.0884 | 1437.0200 |    7.7924 | 
  141 | 13m25s |    0.54779 |       30.1685 |    7.5247 |    5.3511 |      24.8717 |      4.3203 |  516.5015 | 1332.9369 |    9.7273 | 
  142 | 13m19s |    0.54855 |       26.5301 |    4.4874 |    3.9417 |      21.8342 |      2.8859 |  529.5921 | 1190.2699 |    7.2763 | 
  143 | 13m57s |    0.54923 |       28.8266 |    4.2480 |    3.7148 |      24.1668 |      2.9652 |  482.3831 | 1170.7194 |    8.8171 | 
  144 | 13m45s |    0.54894 |       29.4174 |    4.7804 |    4.4212 |      21.6755 |      3.1274 |  495.5541 | 1029.7650 |    7.5134 | 
  145 | 13m31s |    0.54869 |       27.7291 |    4.0426 |    3.8474 |      21.2027 |      2.4403 |  519.6173 | 1127.7782 |    8.9993 | 
  146 | 14m00s |    0.54819 |       26.5821 |    3.3827 |    4.1222 |      22.9962 |      2.4483 |  392.2930 | 1294.7969 |    8.8445 | 
  147 | 13m13s |    0.54776 |       28.0169 |    7.4412 |    4.3723 |      25.4454 |      4.5074 |  620.9336 | 1325.8076 |    9.1775 | 
  148 | 13m05s |    0.54735 |       30.2159 |    8.1836 |    5.0787 |      20.8809 |      4.6929 |  581.5734 | 1301.4705 |    9.8866 | 
  149 | 14m13s |    0.54653 |       27.4405 |    3.9731 |    4.7361 |      22.5181 |      3.6977 |  568.8557 |  804.7039 |    7.9057 | 
  150 | 13m50s |    0.54926 |       26.0527 |    4.8066 |    4.1845 |      23.7736 |      2.6083 |  417.5018 | 1126.9712 |    8.6516 | 
  151 | 14m26s |    0.54738 |       29.6587 |    3.2912 |    5.3589 |      21.6538 |      3.1305 |  409.7979 |  847.7765 |    6.7420 | 
  152 | 12m38s |    0.54725 |       29.4901 |    8.2081 |    5.2513 |      23.3694 |      3.5437 |  600.7250 | 1409.1021 |    8.2826 | 
  153 | 13m52s |    0.54740 |       26.5657 |    5.6994 |    3.7964 |      23.6488 |      4.1226 |  592.2176 |  902.1057 |    9.4324 | 
  154 | 13m48s |    0.54916 |       25.8149 |    4.5745 |    3.9967 |      24.2846 |      3.0663 |  531.2470 | 1011.9706 |    8.5709 | 
  155 | 13m55s |    0.54834 |       28.4761 |    4.0048 |    4.2761 |      24.6668 |      2.9204 |  422.1199 | 1304.9754 |   10.0713 | 
  156 | 13m48s |    0.54617 |       30.6411 |    4.1298 |    6.2482 |      19.8574 |      4.2866 |  423.2466 | 1198.7271 |    9.0249 | 
  157 | 13m59s |    0.54905 |       26.6841 |    3.7207 |    4.5473 |      21.6115 |      2.6075 |  422.8438 | 1064.8776 |    8.2327 | 
  158 | 13m41s |    0.54613 |       26.7729 |    6.6245 |    4.9217 |      23.3261 |      4.8723 |  603.9252 |  947.6273 |   11.0854 | 
  159 | 13m10s |    0.54713 |       30.1061 |    6.1631 |    4.9080 |      24.4035 |      3.4823 |  516.7888 | 1582.3012 |    9.6542 | 
  160 | 14m14s |    0.54752 |       28.7964 |    6.9991 |    5.0492 |      21.6030 |      2.9839 |  396.5167 | 1266.9146 |    9.1913 | 
  161 | 14m55s |    0.54686 |       28.9063 |    5.1831 |    5.9503 |      24.1158 |      5.2092 |  549.8479 | 1137.9657 |    9.4363 | 
  162 | 17m21s |    0.54920 |       28.2453 |    3.5727 |    4.2715 |      23.4528 |      3.2568 |  458.9169 |  893.0232 |    8.4748 | 
  163 | 14m55s |    0.54787 |       27.1351 |    3.9406 |    3.9261 |      23.8530 |      3.7569 |  629.5484 | 1043.0336 |    8.5731 | 
  164 | 13m26s |    0.54694 |       28.2412 |    8.1391 |    4.3665 |      23.6739 |      4.2811 |  524.6571 | 1591.0937 |    8.7238 | 
  165 | 13m42s |    0.54751 |       28.0385 |    5.7465 |    4.9640 |      23.5805 |      4.3618 |  539.1828 | 1445.3804 |    7.9023 | 
  166 | 16m35s |    0.54917 |       27.0108 |    4.8819 |    4.3937 |      22.9639 |      3.3937 |  373.0239 |  941.0307 |    8.0702 | 
  167 | 13m17s |    0.54785 |       29.6501 |    7.4281 |    4.4596 |      23.8008 |      3.5904 |  524.5589 | 1422.7208 |    9.1920 | 
  168 | 12m58s |    0.54663 |       28.5581 |    6.5437 |    5.2314 |      20.5848 |      3.8924 |  463.2943 | 1527.1077 |    8.8681 | 
  169 | 13m14s |    0.54851 |       28.4220 |    6.5595 |    4.5782 |      19.4820 |      3.2985 |  523.2739 | 1094.2364 |    8.7986 | 
  170 | 14m24s |    0.54822 |       29.1868 |    4.4397 |    5.0253 |      26.7517 |      4.2362 |  605.0941 | 1237.1277 |    9.6189 | 
  171 | 14m30s |    0.54861 |       26.5984 |    4.9552 |    4.5152 |      22.8853 |      3.5689 |  458.7534 |  862.9304 |    8.0343 | 
  172 | 13m26s |    0.54799 |       25.8365 |    5.8687 |    3.6919 |      22.7273 |      3.9664 |  526.7142 | 1359.6568 |    8.8700 | 
