Loading data ...
Traceback (most recent call last):
  File "grid_knn_demo.py", line 214, in <module>
    VALIDATION = ('validation' == sys.argv[1])
IndexError: list index out of range
Loading data ...
Bayesian Optimization mode. Taking last 10% of training as test set.
[31mInitialization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
    1 | 15m05s | [35m   0.54776[0m | [32m      25.0000[0m | [32m   5.0000[0m | [32m   4.0000[0m | [32m     15.0000[0m | [32m     3.0000[0m | [32m 500.0000[0m | [32m1000.0000[0m | [32m  10.0000[0m | 
    2 | 11m35s |    0.52795 |       10.2060 |    9.5877 |    4.4126 |       8.6790 |      3.9949 |  490.0248 | 1654.3462 |   10.7381 | 
    3 | 12m58s |    0.53444 |       35.2736 |   11.3422 |    4.4275 |       6.0128 |      2.6921 |  711.0329 | 1041.0347 |   19.4548 | 
    4 | 14m17s |    0.54082 |       33.6959 |    5.3296 |    6.9065 |      14.6654 |      5.3070 |  365.9082 | 1560.2628 |    7.1779 | 
    5 | 12m29s |    0.51361 |       10.5587 |    9.4866 |    8.9388 |      29.3256 |      2.8792 |  989.0894 |  519.0226 |    9.4775 | 
[31mBayesian Optimization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
    6 | 16m37s |    0.54601 |       30.5746 |    1.9159 |    4.7137 |      24.9901 |      2.0629 |  385.1818 | 1466.6803 |    8.8896 | 
    7 | 15m02s |    0.54010 |       23.8602 |   12.8905 |    2.5577 |      23.5307 |      7.8818 |  404.0342 | 1227.9371 |   11.6269 | 
    8 | 13m34s |    0.54256 |       28.7805 |    9.2865 |    4.9918 |      25.3174 |      9.1291 |  915.6944 | 1955.5630 |   14.6213 | 
    9 | 10m43s |    0.51052 |        5.8743 |   10.0814 |    3.3207 |      12.3821 |      5.2551 |  469.0999 | 1547.0400 |    2.5696 | 
   10 | 14m38s |    0.52634 |       29.6514 |   10.3018 |    2.6574 |      14.1621 |      4.4776 |  776.5274 |  663.9352 |   18.9593 | 
   11 | 12m36s |    0.50020 |        5.3332 |    1.3617 |    6.3628 |      13.3029 |      2.3805 |  694.9646 | 1030.0526 |    5.1481 | 
   12 | 12m10s |    0.53455 |       12.3998 |   11.7486 |    2.9688 |      21.5291 |      3.6355 |  331.6132 | 1880.1935 |    5.6501 | 
   13 | 12m51s |    0.54223 |       30.2539 |   10.2291 |    3.3175 |      19.2912 |      2.4897 |  654.4551 | 1604.1007 |   14.1380 | 
   14 | 14m38s |    0.54235 |       24.7080 |    8.3533 |    4.3626 |      22.8064 |      6.2989 |  641.3429 |  947.8275 |   14.6837 | 
   15 | 15m04s |    0.53560 |       37.6624 |    5.1748 |    5.5060 |       8.8012 |      8.2030 |  397.5857 |  835.3131 |   13.1407 | 
   16 | 11m55s |    0.54244 |       23.1150 |   13.1948 |    4.0608 |      26.0691 |      1.7372 |  629.0132 | 1730.5352 |    5.9703 | 
   17 | 13m12s |    0.53155 |       16.0416 |    9.8946 |    2.2923 |      17.0945 |      3.8622 |  376.7662 | 1835.8198 |   14.6422 | 
   18 | 15m03s |    0.52725 |       16.7447 |    1.7783 |    6.6167 |       7.4706 |      5.2232 |  897.1269 |  786.9371 |   15.8774 | 
   19 | 12m45s |    0.52833 |       21.3728 |   10.8548 |    1.7634 |       9.9221 |      6.0779 |  407.3641 | 1829.3381 |   12.8022 | 
   20 | 13m26s |    0.53717 |       28.4210 |   12.6141 |    8.8580 |      22.4225 |      8.2228 |  711.0258 |  958.0135 |   10.1284 | 
   21 | 15m28s |    0.52599 |       11.5281 |    1.5417 |    2.6109 |      26.0448 |      9.2706 |  991.4633 | 1627.3710 |   11.5647 | 
   22 | 11m37s |    0.53640 |       26.2579 |    7.2811 |    9.8065 |      13.2677 |      1.0864 |  375.9096 | 1291.5952 |    9.0811 | 
   23 | 13m38s |    0.53715 |       22.7048 |    3.0959 |    6.2658 |       8.2762 |      7.7691 |  387.7370 |  827.2255 |    4.8945 | 
   24 | 11m45s |    0.53372 |       25.2089 |    6.8703 |    1.9169 |       5.9898 |      3.2173 |  898.8832 | 1172.9142 |    7.2839 | 
   25 | 13m59s |    0.53588 |       23.7413 |   14.8026 |    2.5712 |      26.0763 |      6.2860 |  881.0094 |  906.1519 |   13.3436 | 
   26 | 12m56s |    0.54307 |       27.1330 |   10.3909 |    9.3061 |      26.4185 |      7.5871 |  689.4821 | 1974.4149 |   17.0610 | 
   27 | 16m11s |    0.54302 |       18.4882 |    1.9820 |    5.9274 |      27.8023 |      5.3534 |  729.5843 | 1012.9297 |   10.1370 | 
   28 | 12m35s |    0.52064 |       31.4380 |   14.5436 |    1.0738 |       7.1609 |      5.9412 |  277.6416 | 1845.9249 |    6.6244 | 
   29 | 16m17s |    0.54152 |       34.7142 |    1.0630 |    7.1371 |      20.4583 |      3.0715 |  404.2066 |  724.9107 |    6.1798 | 
   30 | 12m33s |    0.53094 |       23.3217 |    4.4871 |    6.9600 |      14.2182 |      1.3313 |  719.1841 |  909.0909 |   19.7659 | 
   31 | 14m09s |    0.54025 |       29.0163 |    4.2957 |    2.6553 |      21.8477 |      2.5865 |  890.1997 |  832.5200 |    9.8961 | 
   32 | 11m24s |    0.52537 |        9.8770 |    7.9773 |    7.9940 |      23.1031 |      1.5048 |  298.4675 | 1077.2263 |    2.5372 | 
[31mBayesian Optimization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
   33 | 15m33s |    0.52446 |       37.4604 |   10.9156 |    3.4677 |      25.7744 |      7.5052 |  697.3103 |  543.5428 |    2.2049 | 
   34 | 12m10s |    0.50520 |        7.1129 |   11.8285 |    4.1679 |      10.9348 |      8.0866 |  335.0065 |  641.4041 |   13.5193 | 
   35 | 12m11s |    0.54109 |       37.2710 |   12.3627 |    8.9008 |      22.3192 |      5.1590 |  859.1772 | 1616.0423 |    5.6111 | 
   36 | 11m28s |    0.53224 |       26.3612 |   14.9851 |    6.8807 |      12.7044 |      2.0493 |  273.2556 | 1934.4798 |    4.7697 | 
   37 | 10m40s |    0.52000 |        7.6585 |   13.3909 |    5.2063 |      10.9952 |      8.7109 |  520.5244 | 1778.8817 |    7.9849 | 
   38 | 10m18s |    0.50023 |        8.1522 |   12.4230 |    8.4130 |      11.3270 |      5.6768 |  980.0038 |  504.8093 |    2.3887 | 
   39 | 14m00s |    0.53681 |       27.4692 |    5.0529 |    2.9489 |      18.2061 |      5.8176 |  608.4406 | 1954.9347 |   18.3555 | 
   40 | 13m55s | [35m   0.54791[0m | [32m      27.9464[0m | [32m   4.8598[0m | [32m   4.5657[0m | [32m     19.9067[0m | [32m     3.2233[0m | [32m 518.7033[0m | [32m1327.2593[0m | [32m   9.9418[0m | 
   41 | 13m03s |    0.52432 |       12.8046 |    2.1467 |    2.7930 |      20.3575 |      9.5823 |  851.8246 | 1785.6355 |    2.1563 | 
   42 | 12m14s |    0.53588 |       14.2996 |    6.6392 |    5.5116 |       8.0416 |      6.7867 |  439.5955 | 1019.4391 |    9.0948 | 
   43 | 15m08s |    0.53259 |       26.1104 |   13.3032 |    3.3164 |      25.0662 |      9.0216 |  346.2214 | 1902.1983 |   15.4824 | 
   44 | 13m17s |    0.54499 |       30.1432 |   14.6454 |    7.3932 |      29.3628 |      6.3504 |  644.1613 | 1771.4924 |   11.4536 | 
   45 | 13m37s |    0.48659 |        6.0008 |    3.9497 |    1.0302 |      26.3863 |      5.7059 |  557.5835 |  796.3853 |   19.7184 | 
   46 | 11m49s |    0.53982 |       19.6505 |    4.9577 |    5.6788 |       8.7823 |      5.0017 |  858.8492 | 1669.9069 |    7.3682 | 
   47 | 13m48s |    0.52214 |       15.0354 |    4.8359 |    2.0837 |       9.3101 |      8.5108 |  456.6679 |  938.1178 |   16.5628 | 
   48 | 12m01s |    0.53668 |       15.9030 |   14.6751 |    8.5514 |      27.0192 |      3.3389 |  504.0237 | 1939.5406 |   16.9163 | 
   49 | 11m15s |    0.50242 |        9.3791 |    5.9602 |    7.4591 |       8.1378 |      1.0390 |  632.5065 |  502.4218 |   14.7103 | 
   50 | 13m57s |    0.54722 |       26.0763 |    5.7686 |    4.5949 |      18.4805 |      4.1669 |  591.4051 | 1074.2688 |   10.3866 | 
   51 | 30m21s | [35m   0.54822[0m | [32m      28.4871[0m | [32m   3.7400[0m | [32m   4.9787[0m | [32m     18.7432[0m | [32m     3.1849[0m | [32m 488.4464[0m | [32m 982.9204[0m | [32m   9.0790[0m | 
   52 | 20m11s |    0.53475 |       14.5831 |    7.5215 |    7.8962 |      16.6507 |      3.0905 |  257.7639 |  699.8936 |    3.5451 | 
   53 | 17m32s |    0.54734 |       27.4892 |    5.1397 |    5.2007 |      15.8708 |      3.7726 |  459.3284 | 1214.3815 |    9.2440 | 
   54 | 14m50s |    0.52093 |       35.0446 |    3.9323 |    7.8174 |      17.5304 |      1.9438 |  936.1019 |  550.5189 |    2.7772 | 
   55 | 14m18s | [35m   0.54851[0m | [32m      27.9209[0m | [32m   6.0264[0m | [32m   4.2256[0m | [32m     18.6741[0m | [32m     3.0850[0m | [32m 472.1524[0m | [32m1025.5469[0m | [32m  10.2162[0m | 
   56 | 12m59s |    0.54711 |       27.3627 |    8.9897 |    4.8340 |      22.4880 |      4.6558 |  627.7030 | 1368.3229 |   11.5913 | 
   57 | 13m41s |    0.54027 |       33.8003 |    4.4925 |    7.9116 |      25.3336 |      1.2613 |  351.5456 | 1204.4239 |    8.0489 | 
   58 | 14m20s |    0.54767 |       29.1796 |    5.1162 |    5.8405 |      22.8880 |      3.4120 |  505.4993 | 1183.4308 |    9.4441 | 
   59 | 14m56s |    0.54551 |       30.6663 |    3.9534 |    5.6162 |      21.2635 |      2.8683 |  372.4107 | 1419.3433 |    8.7278 | 
   60 | 14m40s |    0.54716 |       29.1175 |    7.2809 |    4.9906 |      18.7216 |      2.8429 |  588.5875 | 1232.8496 |   10.1581 | 
   61 | 16m19s |    0.53989 |       29.3986 |    4.3954 |    6.7278 |      26.6284 |      3.9914 |  310.7233 |  668.3174 |    5.5337 | 
   62 | 13m19s |    0.54821 |       25.4141 |    5.5478 |    4.9297 |      19.4674 |      2.9140 |  487.1833 | 1109.9725 |    8.6420 | 
   63 | 12m18s |    0.54023 |       23.8665 |    8.8078 |    3.7630 |      25.2257 |      2.5336 |  459.9753 | 1833.9515 |    2.3496 | 
   64 | 13m28s |    0.54833 |       28.6242 |    7.1927 |    4.4229 |      22.0835 |      3.9667 |  539.6017 | 1223.3652 |    8.7599 | 
   65 | 13m14s |    0.54755 |       27.4110 |    7.1734 |    5.0777 |      20.7961 |      4.1666 |  489.8797 | 1189.3889 |   11.1172 | 
   66 | 11m31s |    0.54167 |       38.6258 |   10.2285 |    7.1070 |      16.8450 |      5.4408 |  933.3634 | 1822.1591 |    6.9792 | 
   67 | 13m44s |    0.53055 |       31.6903 |    7.8778 |    1.6540 |      28.3417 |      2.3405 |  557.0373 | 1772.5137 |   17.8043 | 
   68 | 12m44s |    0.53429 |       23.2349 |   14.5995 |    9.7125 |      16.4866 |      4.4578 |  898.2035 |  892.0757 |   12.2275 | 
   69 | 14m32s |    0.54220 |       20.0333 |    3.3110 |    3.5080 |      28.5043 |      4.5214 |  934.3769 | 1160.6335 |    8.4257 | 
   70 | 11m29s |    0.52260 |       10.3400 |   10.2329 |    9.9824 |      14.8949 |      4.6294 |  455.3631 | 1382.7334 |   16.7668 | 
   71 | 13m45s |    0.54790 |       26.2139 |    5.8152 |    4.5229 |      24.4798 |      3.9320 |  638.4004 | 1194.0577 |   10.4667 | 
   72 | 14m33s | [35m   0.54863[0m | [32m      29.3076[0m | [32m   3.6512[0m | [32m   4.7071[0m | [32m     23.5492[0m | [32m     2.9420[0m | [32m 397.6747[0m | [32m1156.9506[0m | [32m   8.3813[0m | 
   73 | 12m33s |    0.54715 |       26.5202 |    8.1558 |    4.3681 |      23.2107 |      3.0875 |  599.2270 | 1490.7339 |    9.5043 | 
   74 | 13m09s |    0.53024 |       35.5494 |   12.0797 |    6.6405 |      11.3777 |      9.7257 |  269.9719 | 1304.9029 |    8.5752 | 
   75 | 13m56s | [35m   0.54887[0m | [32m      27.1854[0m | [32m   4.4698[0m | [32m   4.4599[0m | [32m     22.2931[0m | [32m     3.8907[0m | [32m 490.8520[0m | [32m1059.3248[0m | [32m   9.2241[0m | 
   76 | 09m57s |    0.50634 |        5.4485 |   13.6596 |    6.2501 |      17.7454 |      2.0489 |  581.9295 | 1069.2347 |    8.0359 | 
   77 | 13m40s |    0.54788 |       27.8469 |    4.9843 |    4.5987 |      25.2065 |      2.9982 |  453.7961 | 1422.6097 |    8.3923 | 
   78 | 16m29s |    0.53287 |       24.6196 |    2.7216 |    2.1801 |      26.4593 |      8.5273 |  485.8376 | 1500.4398 |   17.7180 | 
   79 | 14m03s |    0.54777 |       30.7439 |    4.6418 |    4.5825 |      23.4105 |      2.1933 |  466.4810 | 1303.6784 |    8.8571 | 
   80 | 14m16s |    0.54802 |       28.8190 |    6.7143 |    4.1876 |      23.6975 |      3.5222 |  518.4262 | 1342.8569 |   11.1681 | 
   81 | 12m35s |    0.53774 |       28.9967 |    4.8853 |    4.3072 |       5.4964 |      8.1589 |  462.7787 | 1475.8445 |    3.5094 | 
