Loading data ...
Traceback (most recent call last):
  File "grid_knn_demo.py", line 214, in <module>
    VALIDATION = ('validation' == sys.argv[1])
IndexError: list index out of range
Loading data ...
Bayesian Optimization mode. Taking last 10% of training as test set.
[31mInitialization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
    1 | 15m05s | [35m   0.54776[0m | [32m      25.0000[0m | [32m   5.0000[0m | [32m   4.0000[0m | [32m     15.0000[0m | [32m     3.0000[0m | [32m 500.0000[0m | [32m1000.0000[0m | [32m  10.0000[0m | 
    2 | 14m39s |    0.53835 |       21.7745 |    2.0534 |    9.2277 |      12.2829 |      8.3051 |  739.6442 | 1546.9636 |   18.8126 | 
    3 | 16m35s |    0.53839 |       32.0124 |    3.4613 |    2.7660 |      17.4211 |      6.6780 |  659.2584 | 1044.4230 |   15.9636 | 
    4 | 14m59s |    0.52390 |       22.8296 |    8.4127 |    1.9868 |      15.5462 |      9.9216 |  425.5212 | 1458.6208 |   18.9255 | 
    5 | 13m18s |    0.53516 |       29.3362 |   12.9214 |    8.3795 |      10.6554 |      3.9682 |  357.6943 | 1199.1299 |   16.0754 | 
[31mBayesian Optimization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
    6 | 15m44s |    0.53595 |       24.2483 |    4.5969 |    3.1980 |       7.6230 |      6.8208 |  352.6488 |  548.5793 |    9.6629 | 
    7 | 12m06s |    0.51914 |       12.1304 |   10.0252 |    1.7474 |      22.0899 |      9.9173 |  881.7593 | 1459.3068 |    4.9141 | 
    8 | 14m31s |    0.53636 |       18.2432 |    1.5369 |    2.0643 |      18.2445 |      3.0108 |  687.3046 | 1677.2423 |    8.6851 | 
    9 | 12m59s |    0.53374 |       28.4485 |    4.7128 |    9.1581 |      10.9315 |      5.7910 |  447.7497 |  742.8044 |    3.5547 | 
   10 | 14m29s |    0.54535 |       21.6902 |    3.0678 |    3.7964 |      29.2467 |      3.5940 |  400.3006 | 1344.6194 |    4.0241 | 
   11 | 11m56s |    0.53417 |       18.2399 |    5.9465 |    6.3085 |      12.8137 |      8.9138 |  723.1941 | 1093.9753 |    2.0695 | 
   12 | 10m15s |    0.53012 |       13.4078 |   11.6029 |    8.6416 |       5.2280 |      3.6772 |  573.6692 | 1091.8074 |    3.9000 | 
   13 | 11m13s |    0.53838 |       26.7285 |    7.5317 |    4.0158 |      12.7284 |      1.7168 |  801.4403 | 1918.3760 |    5.6962 | 
   14 | 11m49s |    0.53481 |       13.3799 |   12.1157 |    3.0917 |      21.7798 |      5.8584 |  852.0928 | 1566.7607 |   10.5586 | 
   15 | 13m07s |    0.54184 |       28.6429 |    7.5668 |    6.2275 |      22.9260 |      7.5050 |  630.4504 | 1661.3891 |    3.4330 | 
   16 | 12m49s |    0.53928 |       32.7302 |    4.5427 |    9.8102 |      26.4877 |      1.2788 |  747.8169 | 1819.9142 |    6.6577 | 
